val,test
1.983424425125122,1.9853023290634155
1.9832749366760254,1.9854804277420044
1.9839234352111816,1.9845448732376099
1.9829760789871216,1.9856911897659302
1.9833325147628784,1.985131859779358
1.9831175804138184,1.985817551612854
1.982144832611084,1.985519528388977
1.9838279485702515,1.9852969646453857
1.9823881387710571,1.9863531589508057
1.9828399419784546,1.9857369661331177
1.9830021858215332,1.9850960969924927
1.983001947402954,1.985033631324768
1.9827989339828491,1.9851813316345215
1.9827755689620972,1.98519766330719
1.9825338125228882,1.9853876829147339
1.9840350151062012,1.9852548837661743
1.9824228286743164,1.985660433769226
1.9832338094711304,1.9848300218582153
1.984371542930603,1.9854421615600586
1.9837908744812012,1.9852628707885742
