val,test
2.042661190032959,2.0470738410949707
2.0421831607818604,2.0472850799560547
2.046966075897217,2.0482442378997803
2.047156572341919,2.0491280555725098
2.0432286262512207,2.0512499809265137
2.043696165084839,2.0479447841644287
2.042492628097534,2.0505759716033936
2.0432915687561035,2.0486412048339844
2.0477216243743896,2.048527240753174
2.0438015460968018,2.0494675636291504
2.042635202407837,2.051995277404785
2.043180227279663,2.0489232540130615
2.048591375350952,2.0502302646636963
2.0393946170806885,2.047297239303589
2.043520450592041,2.0476973056793213
2.045137643814087,2.04771089553833
2.0472850799560547,2.0537350177764893
2.0457606315612793,2.0486462116241455
2.0452370643615723,2.049753427505493
2.043961524963379,2.0499515533447266
