val,test
1.9686754941940308,1.970012903213501
1.950299859046936,1.9550809860229492
1.927868366241455,1.9281156063079834
1.8944838047027588,1.900373935699463
1.8600066900253296,1.8662647008895874
1.8170737028121948,1.8280085325241089
1.7732363939285278,1.7802283763885498
1.7209830284118652,1.7352864742279053
1.6645710468292236,1.6695500612258911
1.6111726760864258,1.619163990020752
1.5729693174362183,1.5954936742782593
1.5600131750106812,1.567068099975586
1.540021300315857,1.5425821542739868
1.4893608093261719,1.5293948650360107
1.4863334894180298,1.4977160692214966
1.4779318571090698,1.4819799661636353
1.4480592012405396,1.4666754007339478
1.4515806436538696,1.4572087526321411
1.4368853569030762,1.4597108364105225
1.4356098175048828,1.4428719282150269
