val,test
0.42509013414382935,0.41787189245224
0.3176555931568146,0.3145904541015625
0.29001760482788086,0.2792852222919464
0.2635854482650757,0.26212581992149353
0.24937954545021057,0.24565096199512482
0.2423381507396698,0.2419121265411377
0.2396947294473648,0.23871023952960968
0.23393534123897552,0.23848359286785126
0.23360581696033478,0.23477588593959808
0.2315409630537033,0.22718195617198944
0.2272464483976364,0.22516480088233948
0.2282203733921051,0.22555339336395264
0.22344833612442017,0.21987204253673553
0.22385047376155853,0.226238414645195
0.2215186059474945,0.22335654497146606
