val,test
1.2369728088378906,1.229758381843567
1.2351274490356445,1.2269060611724854
1.2336938381195068,1.2204704284667969
1.232642412185669,1.2303990125656128
1.2347838878631592,1.2224793434143066
1.228441596031189,1.2275604009628296
1.232550024986267,1.2339593172073364
1.2290700674057007,1.2238043546676636
1.229141354560852,1.2259409427642822
1.2322697639465332,1.2194968461990356
1.2330646514892578,1.2320919036865234
1.2276018857955933,1.2212954759597778
1.232587456703186,1.2276970148086548
1.2332205772399902,1.224071741104126
1.2312976121902466,1.2264598608016968
1.2314927577972412,1.230879306793213
1.2323461771011353,1.2261019945144653
1.2321362495422363,1.2272628545761108
1.238150715827942,1.2258901596069336
1.2331689596176147,1.2287988662719727
