val,test
0.7694969773292542,0.7519105672836304
0.7405009865760803,0.7248757481575012
0.7382638454437256,0.730119526386261
0.7346256971359253,0.7250199317932129
0.7344344854354858,0.7167076468467712
0.7379111647605896,0.7220334410667419
0.7385284304618835,0.7243425250053406
0.7377482056617737,0.7237902283668518
0.7566272616386414,0.7243965864181519
0.7444917559623718,0.7312794327735901
0.7538405656814575,0.7360408306121826
0.7481628060340881,0.730428159236908
0.76963210105896,0.7436689138412476
0.7658542394638062,0.7429675459861755
0.7658989429473877,0.7450593709945679
0.7680370807647705,0.7488723993301392
0.7738333344459534,0.752331018447876
0.771381676197052,0.7538874745368958
0.7821362614631653,0.7700348496437073
0.7868956923484802,0.7587005496025085
