val,test
1.0743892192840576,1.0879255533218384
1.0736668109893799,1.0883288383483887
1.0717065334320068,1.088155746459961
1.0735162496566772,1.0883513689041138
1.0736232995986938,1.087856650352478
1.0724196434020996,1.0890449285507202
1.0727179050445557,1.0883134603500366
1.074549674987793,1.0888949632644653
1.0734485387802124,1.0874305963516235
1.0742862224578857,1.0878087282180786
1.073665976524353,1.0890438556671143
1.0740381479263306,1.0882484912872314
1.074164628982544,1.0888746976852417
1.0739854574203491,1.0878642797470093
1.0723403692245483,1.0893813371658325
1.0728434324264526,1.0890032052993774
1.0751744508743286,1.0872933864593506
1.073317050933838,1.088760495185852
1.0729821920394897,1.089107632637024
1.0744390487670898,1.0885034799575806
